Metabolite,pos_in_ppm,couple_code,J_constant,relative_intensity,overwrite_pos,overwrite_truncation,Include_multiplet
metabolite38,4.1424,-2,"4.1235,4.1612",0.0002,n,n,1
metabolite38,4.0987,-2,"4.0740,4.1235",0.0018,n,n,1
metabolite38,4.0587,-2,"4.0458,4.0716",0.0002,n,n,1
metabolite38,4.032,-2,"4.0182,4.0458",0.0018,n,n,1
metabolite38,4.0091,-2,"4.0001,4.0182",0.002,n,n,1
metabolite38,3.9789,-2,"3.9577,4.0001",0.003,n,n,1
metabolite38,3.9341,-2,"3.9143,3.9539",0.0003,n,n,1
metabolite38,3.8833,-2,"3.8533,3.9133",0.0015,n,n,1
metabolite38,3.8302,-2,"3.8099,3.8504",0.0006,n,n,1
metabolite38,3.7842,-2,"3.7584,3.8099",0.0029,n,n,1
metabolite38,3.7446,-2,"3.7308,3.7584",0.0003,n,n,1
metabolite38,3.7179,-2,"3.7051,3.7308",0.0013,n,n,1
metabolite38,3.6903,-2,"3.6755,3.7051",0.0035,n,n,1
metabolite38,3.6703,-2,"3.6650,3.6755",0.0002,n,n,1
metabolite38,3.641,-2,"3.6169,3.6650",0.0013,n,n,1
metabolite38,3.6066,-2,"3.5964,3.6169",0.0002,n,n,1
metabolite38,3.584,-2,"3.5716,3.5964",0.0007,n,n,1
metabolite38,3.563,-2,"3.5544,3.5716",0.0017,n,n,1
metabolite38,3.5347,-2,"3.5149,3.5544",0.0024,n,n,1
metabolite39,3.992,-2,"3.9572,4.0268",0.0179,n,n,1
metabolite39,2.962,-2,"2.9406,2.9835",0.0074,n,n,1
metabolite39,2.9189,-2,"2.8972,2.9406",0.0116,n,n,1
metabolite39,2.8491,-2,"2.8038,2.8943",0.0193,n,n,1
metabolite40,2.3786,-2,"2.3619,2.3953",0.0018,n,n,1
metabolite40,2.3417,-2,"2.3214,2.3619",0.0305,n,n,1
metabolite40,2.3005,-2,"2.2795,2.3214",0.0028,n,n,1
metabolite40,2.1294,-2,"2.0850,2.1737",0.0179,n,n,1
metabolite40,2.04,-2,"1.9949,2.0850",0.0189,n,n,1
metabolite41,2.9963,-2,"2.9577,3.0349",0.0158,n,n,1
metabolite41,2.4289,-2,"2.3901,2.4678",0.0188,n,n,1
metabolite42,4.1233,-2,"4.0840,4.1626",0.0022,n,n,1
metabolite42,3.4129,-2,"3.3700,3.4558",0.0032,n,n,1
metabolite42,3.3269,-2,"3.2837,3.3700",0.0033,n,n,1
metabolite42,2.3462,-2,"2.2986,2.3939",0.0032,n,n,1
metabolite42,2.0245,-2,"1.9339,2.1151",0.0085,n,n,1
metabolite43,5.1869,-2,"5.1549,5.2188",0.0014,n,n,1
metabolite43,4.5685,-2,"4.5334,4.6035",0.0035,n,n,1
metabolite43,3.9338,-2,"3.9153,3.9524",0.0014,n,n,1
metabolite43,3.8967,-2,"3.8781,3.9153",0.0014,n,n,1
metabolite43,3.6881,-2,"3.6603,3.7160",0.0056,n,n,1
metabolite43,3.6214,-2,"3.5826,3.6603",0.0031,n,n,1
metabolite43,3.5127,-2,"3.4768,3.5487",0.0024,n,n,1
metabolite43,3.4243,-2,"3.3829,3.4658",0.0037,n,n,1
metabolite43,3.3393,-2,"3.3214,3.3571",0.0016,n,n,1
metabolite43,3.3133,-2,"3.3052,3.3214",0.0027,n,n,1
metabolite43,3.2873,-2,"3.2694,3.3052",0.0015,n,n,1
metabolite43,3.2513,-2,"3.2394,3.2632",0.0002,n,n,1
metabolite43,3.2091,-2,"3.1789,3.2394",0.0031,n,n,1
metabolite44,7.7282,-2,"7.6934,7.7630",0.0105,n,n,1
metabolite44,7.5338,-2,"7.4990,7.5685",0.0073,n,n,1
metabolite44,7.2759,-2,"7.2363,7.3155",0.0111,n,n,1
metabolite44,7.1925,-2,"7.1534,7.2316",0.0117,n,n,1
metabolite44,4.0508,-2,"4.0130,4.0887",0.0112,n,n,1
metabolite44,3.5008,-2,"3.4796,3.5220",0.0077,n,n,1
metabolite44,3.4584,-2,"3.4372,3.4796",0.0105,n,n,1
metabolite44,3.3085,-2,"3.2690,3.3481",0.0138,n,n,1
metabolite45,8.9295,-2,"8.8988,8.9603",0.0074,n,n,1
metabolite45,8.7039,-2,"8.6705,8.7372",0.0092,n,n,1
metabolite45,8.2396,-2,"8.2048,8.2744",0.0124,n,n,1
metabolite45,7.5862,-2,"7.5485,7.6238",0.0166,n,n,1
metabolite46,3.3657,-2,"3.3333,3.3981",0.0051,n,n,1
metabolite46,3.1817,-2,"3.1369,3.2265",0.0085,n,n,1
metabolite46,2.2347,-2,"2.1961,2.2733",0.0124,n,n,1
metabolite46,1.8977,-2,"1.8558,1.9397",0.0064,n,n,1
metabolite46,1.8136,-2,"1.7714,1.8558",0.0061,n,n,1
metabolite46,1.6322,-2,"1.5526,1.7118",0.0106,n,n,1
metabolite47,6.5085,-2,"6.4785,6.5386",0.0039,n,n,1
metabolite48,5.1731,-2,"5.1430,5.2031",0.0048,n,n,1
metabolite48,3.9315,-2,"3.8943,3.9686",0.0106,n,n,1
metabolite48,3.8545,-2,"3.8290,3.8800",0.003,n,n,1
metabolite48,3.7985,-2,"3.7685,3.8285",0.0029,n,n,1
metabolite48,3.6622,-2,"3.6217,3.7027",0.007,n,n,1
metabolite48,3.5659,-2,"3.5359,3.5959",0.0019,n,n,1
metabolite49,3.8871,-2,"3.8514,3.9229",0.0018,n,n,1
metabolite49,3.808,-2,"3.7780,3.8380",0.0042,n,n,1
metabolite49,3.7384,-2,"3.7065,3.7704",0.0026,n,n,1
metabolite49,3.686,-2,"3.6679,3.7041",0.0009,n,n,1
metabolite49,3.6479,-2,"3.6278,3.6679",0.004,n,n,1
metabolite49,3.6057,-2,"3.5835,3.6278",0.0023,n,n,1
metabolite49,3.4758,-2,"3.4281,3.5235",0.0017,n,n,1
metabolite49,3.386,-2,"3.3438,3.4281",0.0019,n,n,1
metabolite50,3.8838,-2,"3.8438,3.9238",0.0015,n,n,1
metabolite50,3.3426,-2,"3.3023,3.3829",0.0016,n,n,1
metabolite50,2.8266,-2,"2.7904,2.8629",0.0013,n,n,1
metabolite50,2.4244,-2,"2.3910,2.4577",0.0008,n,n,1
metabolite50,2.3767,-2,"2.3624,2.3910",0.0003,n,n,1
metabolite50,2.3372,-2,"2.3119,2.3624",0.0012,n,n,1
metabolite50,2.2495,-2,"2.2252,2.2738",0.0011,n,n,1
metabolite50,2.2006,-2,"2.1761,2.2252",0.0016,n,n,1
metabolite50,2.162,-2,"2.1489,2.1751",0.0003,n,n,1
metabolite50,2.1167,-2,"2.0846,2.1489",0.0025,n,n,1
metabolite50,1.973,-2,"1.9273,2.0188",0.0117,n,n,1
metabolite51,4.1664,-2,"4.1273,4.2055",0.0014,n,n,1
metabolite51,2.4928,-2,"2.4449,2.5407",0.0028,n,n,1
metabolite51,2.3924,-2,"2.3519,2.4330",0.0051,n,n,1
metabolite51,2.0259,-2,"1.9740,2.0779",0.0026,n,n,1
metabolite52,7.7537,-2,"7.7358,7.7716",0.0004,n,n,1
metabolite52,7.7311,-2,"7.7263,7.7358",0.0003,n,n,1
metabolite52,7.6999,-2,"7.6734,7.7263",0.0051,n,n,1
metabolite52,6.0028,-2,"5.9666,6.0391",0.0004,n,n,1
metabolite52,5.8539,-2,"5.8251,5.8827",0.0019,n,n,1
metabolite52,5.8065,-2,"5.7879,5.8251",0.0018,n,n,1
metabolite52,5.7705,-2,"5.7531,5.7879",0.0002,n,n,1
metabolite52,4.6061,-2,"4.5778,4.6345",0.0017,n,n,1
metabolite52,4.5573,-2,"4.5368,4.5778",0.0018,n,n,1
metabolite52,4.5077,-2,"4.4786,4.5368",0.0015,n,n,1
metabolite52,4.4534,-2,"4.4281,4.4786",0.0022,n,n,1
metabolite52,4.4031,-2,"4.3780,4.4281",0.0016,n,n,1
metabolite52,4.0611,-2,"4.0311,4.0911",0.0009,n,n,1
metabolite52,3.7563,-2,"3.7213,3.7913",0.0061,n,n,1
metabolite52,3.7048,-2,"3.6884,3.7213",0.0002,n,n,1
metabolite53,4.1362,-2,"4.0968,4.1755",0.0013,n,n,1
metabolite53,2.9639,-2,"2.9301,2.9978",0.0003,n,n,1
metabolite53,2.8467,-2,"2.8281,2.8653",0.0004,n,n,1
metabolite53,2.8171,-2,"2.8062,2.8281",0.0008,n,n,1
metabolite53,2.7878,-2,"2.7695,2.8062",0.0004,n,n,1
metabolite53,2.6093,-2,"2.5664,2.6522",0.0005,n,n,1
metabolite53,2.2664,-2,"2.2490,2.2838",0.0002,n,n,1
metabolite53,2.2437,-2,"2.2385,2.2490",0.0002,n,n,1
