multiplets,pos_in_ppm,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
metabolite23,3.6364,n,n,n,n,n,n,n,n,n,n
metabolite23,3.5699,n,n,n,n,n,n,n,n,n,n
metabolite23,3.4162,n,n,n,n,n,n,n,n,n,n
metabolite23,3.2704,n,n,n,n,n,n,n,n,n,n
metabolite24,4.1347,n,n,n,n,n,n,n,n,n,n
metabolite24,4.0101,n,n,n,n,n,n,n,n,n,n
metabolite24,3.5425,n,n,n,n,n,n,n,n,n,n
metabolite24,2.0662,n,n,n,n,n,n,n,n,n,n
metabolite24,2.0197,n,n,n,n,n,n,n,n,n,n
metabolite24,1.9883,n,n,n,n,n,n,n,n,n,n
metabolite24,1.9654,n,n,n,n,n,n,n,n,n,n
metabolite24,1.9358,n,n,n,n,n,n,n,n,n,n
metabolite24,1.8915,n,n,n,n,n,n,n,n,n,n
metabolite24,1.8648,n,n,n,n,n,n,n,n,n,n
metabolite24,1.8379,n,n,n,n,n,n,n,n,n,n
metabolite25,4.0556,n,n,n,n,n,n,n,n,n,n
metabolite25,4.0156,n,n,n,n,n,n,n,n,n,n
metabolite25,3.0345,3.03367,3.037,3.0327,3.03225,3.0332,n,3.05361,n,3.04127,3.03652
metabolite26,3.7256,n,n,n,n,n,n,n,n,n,n
metabolite26,1.7025,n,n,n,n,n,n,n,n,n,n
metabolite26,0.9521,n,n,n,n,n,n,n,n,n,n
metabolite27,3.9894,n,n,n,n,n,n,n,n,n,n
metabolite27,3.9269,n,n,n,n,n,n,n,n,n,n
metabolite27,3.8318,n,n,n,n,n,n,n,n,n,n
metabolite28,7.4246,n,n,n,n,n,n,n,n,n,n
metabolite28,7.3693,n,n,n,n,n,n,n,n,n,n
metabolite28,7.3169,n,n,n,n,n,n,n,n,n,n
metabolite28,3.9853,n,n,n,n,n,n,n,n,n,n
metabolite28,3.2759,n,n,n,n,n,n,n,n,n,n
metabolite28,3.1226,n,n,n,n,n,n,n,n,n,n
metabolite29,7.8493,8.0381,8.2759,8.1098,8.1126,8.1662,8.2213,8.5079,8.1862,8.4277,8.2388
metabolite29,7.0767,7.1473,7.23796,7.1748,7.1763,7.1976,7.2176,7.3253,7.2033,7.31104,7.2242
metabolite29,3.977,n,n,n,n,n,n,n,n,n,n
metabolite29,3.2394,n,n,n,n,n,n,n,n,n,n
metabolite29,3.1426,n,n,n,n,n,n,n,n,n,n
metabolite30,3.7584,n,n,n,n,n,n,n,n,n,n
metabolite30,2.4392,n,n,n,n,n,n,n,n,n,n
metabolite30,2.1294,n,n,n,n,n,n,n,n,n,n
metabolite31,7.8652,n,n,n,n,n,n,n,n,n,n
metabolite31,5.8987,n,n,n,n,n,n,n,n,n,n
metabolite31,4.3466,n,n,n,n,n,n,n,n,n,n
metabolite31,4.2217,n,n,n,n,n,n,n,n,n,n
metabolite31,4.1245,n,n,n,n,n,n,n,n,n,n
metabolite31,3.9188,n,n,n,n,n,n,n,n,n,n
metabolite31,3.8797,n,n,n,n,n,n,n,n,n,n
metabolite31,3.7975,n,n,n,n,n,n,n,n,n,n
metabolite32,3.7732,n,n,n,n,n,n,n,n,n,n
metabolite33,4.2884,4.29225,4.29415,4.2932,4.2918,4.29368,4.2956,4.30317,4.29225,4.29937,4.29558
metabolite33,2.6796,2.68465,2.68798,2.6875,n,2.6856,2.68892,2.70316,2.6856,2.69652,2.68841
