ppm	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10
12.557024	0	0	0	0	0	0	0	0	0	0
12.556549	0	0	0	0	0	0	0	0	0	0
12.556074	0	0	0	0	0	0	0	0	0	0
12.5556	0	0	0	0	0	0	0	0	0	0
12.555125	0	0	0	0	0	0	0	0	0	0
12.554651	0	0	0	0	0	0	0	0	0	0
12.554176	0	0	0	0	0	0	0	0	0	0
12.553701	0	0	0	0	0	0	0	0	0	0
12.553227	0	0	0	0	0	0	0	0	0	0
12.552752	0	0	0	0	0	0	0	0	0	0
12.552278	0	0	0	0	0	0	0	0	0	0
12.551803	0	0	0	0	0	0	0	0	0	0
12.551329	0	0	0	0	0	0	0	0	0	0
12.550854	0	0	0	0	0	0	0	0	0	0
12.550379	0	0	0	0	0	0	0	0	0	0
12.549905	0	0	0	0	0	0	0	0	0	0
12.54943	0	0	0	0	0	0	0	0	0	0
12.548956	0	0	0	0	0	0	0	0	0	0
12.548481	0	0	0	0	0	0	0	0	0	0
12.548007	0	0	0	0	0	0	0	0	0	0
12.547532	0	0	0	0	0	0	0	0	0	0
12.547057	0	0	0	0	0	0	0	0	0	0
12.546583	0	0	0	0	0	0	0	0	0	0
12.546108	0	0	0	0	0	0	0	0	0	0
12.545634	0	0	0	0	0	0	0	0	0	0
12.545159	0	0	0	0	0	0	0	0	0	0
12.544685	0	0	0	0	0	0	0	0	0	0
12.54421	0	0	0	0	0	0	0	0	0	0
12.543735	0	0	0	0	0	0	0	0	0	0
12.543261	0	0	0	0	0	0	0	0	0	0
12.542786	0	0	0	0	0	0	0	0	0	0
12.542312	0	0	0	0	0	0	0	0	0	0
12.541837	0	0	0	0	0	0	0	0	0	0
12.541362	0	0	0	0	0	0	0	0	0	0
12.540888	0	0	0	0	0	0	0	0	0	0
12.540413	0	0	0	0	0	0	0	0	0	0
12.539939	0	0	0	0	0	0	0	0	0	0
12.539464	0	0	0	0	0	0	0	0	0	0
12.53899	0	0	0	0	0	0	0	0	0	0
12.538515	0	0	0	0	0	0	0	0	0	0
12.53804	0	0	0	0	0	0	0	0	0	0
12.537566	0	0	0	0	0	0	0	0	0	0
12.537091	0	0	0	0	0	0	0	0	0	0
12.536617	0	0	0	0	0	0	0	0	0	0
12.536142	0	0	0	0	0	0	0	0	0	0
12.535668	0	0	0	0	0	0	0	0	0	0
12.535193	0	0	0	0	0	0	0	0	0	0
12.534718	0	0	0	0	0	0	0	0	0	0
12.534244	0	0	0	0	0	0	0	0	0	0
12.533769	0	0	0	0	0	0	0	0	0	0
12.533295	0	0	0	0	0	0	0	0	0	0
