ppm	x1
12.497848	0
12.497371	0
12.496894	0
12.496417	0
12.49594	0
12.495463	0
12.494986	0
12.494509	0
12.494032	0
12.493555	0
12.493078	0
12.492601	0
12.492124	0
12.491647	0
12.49117	0
12.490693	0
12.490216	0
12.489739	0
12.489262	0
12.488785	0
12.488308	0
12.487831	0
12.487354	0
12.486877	0
12.4864	0
12.485923	0
12.485446	0
12.484969	0
12.484492	0
12.484015	0
12.483538	0
12.483061	0
12.482584	0
12.482107	0
12.48163	0
12.481153	0
12.480676	0
12.480199	0
12.479722	0
12.479245	0
12.478768	0
12.478291	0
12.477814	0
12.477337	0
12.47686	0
12.476383	0
12.475906	0
12.475429	0
12.474952	0
12.474475	0
12.473998	0
12.473521	0
12.473044	0
12.472567	0
12.47209	0
12.471613	0
12.471136	0
12.470659	0
12.470182	0
12.469705	0
12.469228	0
12.468751	0
12.468274	0
12.467797	0
12.46732	0
12.466843	0
12.466366	0
12.465889	0
12.465412	0
12.464935	0
12.464458	0
12.463981	0
12.463504	0
12.463027	0
12.46255	0
12.462073	0
12.461596	0
12.461119	0
12.460642	0
12.460165	0
12.459688	0
12.45921	0
12.458733	0
12.458256	0
12.457779	0
12.457302	0
12.456825	0
12.456348	0
12.455871	0
12.455394	0
12.454917	0
12.45444	0
12.453963	0
12.453486	0
12.453009	0
12.452532	0
12.452055	0
12.451578	0
12.451101	0
12.450624	0
12.450147	0
12.44967	0
12.449193	0
12.448716	0
12.448239	0
12.447762	0
12.447285	0
12.446808	0
12.446331	0
12.445854	0
12.445377	0
12.4449	0
12.444423	0
12.443946	0
12.443469	0
12.442992	0
12.442515	0
12.442038	0
12.441561	0
12.441084	0
12.440607	0
12.44013	0
12.439653	0
12.439176	0
12.438699	0
12.438222	0
12.437745	0
12.437268	0
12.436791	0
12.436314	0
12.435837	0
12.43536	0
12.434883	0
12.434406	0
12.433929	0
12.433452	0
12.432975	0
12.432498	0
12.432021	0
12.431544	0
12.431067	0
12.43059	0
12.430113	0
12.429636	0
12.429159	0
12.428682	0
12.428205	0
12.427728	0
12.427251	0
12.426774	0
12.426297	0
12.42582	0
12.425343	0
12.424866	0
12.424389	0
12.423912	0
12.423435	0
12.422958	0
12.422481	0
12.422004	0
12.421527	0
12.42105	0
12.420573	0
12.420096	0
12.419619	0
12.419142	0
12.418665	0
12.418188	0
12.417711	0
12.417234	0
12.416757	0
12.41628	0
12.415803	0
12.415326	0
12.414849	0
12.414372	0
12.413895	0
12.413418	0
12.412941	0
12.412464	0
12.411987	0
12.41151	0
12.411033	0
12.410556	0
12.410079	0
12.409602	0
12.409125	0
12.408648	0
12.408171	0
12.407694	0
12.407217	0
12.40674	0
12.406263	0
12.405786	0
12.405309	0
12.404832	0
12.404355	0
12.403878	0
12.403401	0
12.402924	0
12.402447	0
12.40197	0
12.401493	0
12.401016	0
12.400539	0
12.400062	0
12.399585	0
12.399108	0
12.398631	0
12.398154	0
12.397677	0
12.397199	0
12.396722	0
12.396245	0
12.395768	0
12.395291	0
12.394814	0
12.394337	0
12.39386	0
12.393383	0
12.392906	0
12.392429	0
12.391952	0
12.391475	0
12.390998	0
12.390521	0
12.390044	0
12.389567	0
12.38909	0
12.388613	0
12.388136	0
12.387659	0
12.387182	0
12.386705	0
12.386228	0
12.385751	0
12.385274	0
12.384797	0
12.38432	0
12.383843	0
12.383366	0
12.382889	0
12.382412	0
12.381935	0
12.381458	0
12.380981	0
12.380504	0
12.380027	0
12.37955	0
12.379073	0
12.378596	0
12.378119	0
12.377642	0
12.377165	0
12.376688	0
12.376211	0
12.375734	0
12.375257	0
12.37478	0
12.374303	0
12.373826	0
12.373349	0
12.372872	0
12.372395	0
12.371918	0
12.371441	0
12.370964	0
12.370487	0
12.37001	0
12.369533	0
12.369056	0
12.368579	0
12.368102	0
12.367625	0
12.367148	0
12.366671	0
12.366194	0
12.365717	0
12.36524	0
12.364763	0
12.364286	0
12.363809	0
12.363332	0
12.362855	0
12.362378	0
12.361901	0
12.361424	0
12.360947	0
12.36047	0
12.359993	0
12.359516	0
12.359039	0
12.358562	0
12.358085	0
12.357608	0
12.357131	0
12.356654	0
12.356177	0
12.3557	0
12.355223	0
12.354746	0
12.354269	0
12.353792	0
12.353315	0
12.352838	0
12.352361	0
12.351884	0
12.351407	0
12.35093	0
12.350453	0
12.349976	0
12.349499	0
12.349022	0
12.348545	0
12.348068	0
12.347591	0
12.347114	0
12.346637	0
12.34616	0
12.345683	0
12.345206	0
12.344729	0
12.344252	0
12.343775	0
12.343298	0
12.342821	0
12.342344	0
12.341867	0
12.34139	0
12.340913	0
12.340436	0
12.339959	0
12.339482	0
12.339005	0
12.338528	0
12.338051	0
12.337574	0
12.337097	0
12.33662	0
12.336143	0
12.335666	0
12.335188	0
12.334711	0
12.334234	0
12.333757	0
12.33328	0
12.332803	0
12.332326	0
12.331849	0
12.331372	0
12.330895	0
12.330418	0
12.329941	0
12.329464	0
12.328987	0
12.32851	0
12.328033	0
12.327556	0
12.327079	0
12.326602	0
12.326125	0
12.325648	0
12.325171	0
12.324694	0
12.324217	0
12.32374	0
12.323263	0
12.322786	0
12.322309	0
12.321832	0
12.321355	0
12.320878	0
12.320401	0
12.319924	0
12.319447	0
12.31897	0
12.318493	0
12.318016	0
12.317539	0
12.317062	0
12.316585	0
12.316108	0
12.315631	0
12.315154	0
12.314677	0
12.3142	0
12.313723	0
12.313246	0
12.312769	0
12.312292	0
12.311815	0
12.311338	0
12.310861	0
12.310384	0
12.309907	0
12.30943	0
12.308953	0
12.308476	0
12.307999	0
12.307522	0
12.307045	0
12.306568	0
12.306091	0
12.305614	0
12.305137	0
12.30466	0
12.304183	0
12.303706	0
12.303229	0
12.302752	0
12.302275	0
12.301798	0
12.301321	0
12.300844	0
12.300367	0
12.29989	0
12.299413	0
12.298936	0
12.298459	0
12.297982	0
12.297505	0
12.297028	0
12.296551	0
12.296074	0
12.295597	0
12.29512	0
12.294643	0
12.294166	0
12.293689	0
12.293212	0
12.292735	0
12.292258	0
12.291781	0
12.291304	0
12.290827	0
12.29035	0
12.289873	0
12.289396	0
12.288919	0
12.288442	0
12.287965	0
12.287488	0
12.287011	0
12.286534	0
12.286057	0
12.28558	0
12.285103	0
12.284626	0
12.284149	0
12.283672	0
12.283195	0
12.282718	0
12.282241	0
12.281764	0
12.281287	0
12.28081	0
12.280333	0
12.279856	0
12.279379	0
12.278902	0
12.278425	0
12.277948	0
12.277471	0
12.276994	0
12.276517	0
12.27604	0
12.275563	0
12.275086	0
12.274609	0
12.274132	0
12.273655	0
12.273177	0
12.2727	0
12.272223	0
12.271746	0
12.271269	0
12.270792	0
12.270315	0
12.269838	0
12.269361	0
12.268884	0
12.268407	0
12.26793	0
12.267453	0
12.266976	0
12.266499	0
12.266022	0
12.265545	0
12.265068	0
12.264591	0
12.264114	0
12.263637	0
12.26316	0
12.262683	0
12.262206	0
12.261729	0
12.261252	0
12.260775	0
12.260298	0
12.259821	0
12.259344	0
12.258867	0
12.25839	0
12.257913	0
12.257436	0
12.256959	0
12.256482	0
12.256005	0
12.255528	0
12.255051	0
12.254574	0
12.254097	0
12.25362	0
12.253143	0
12.252666	0
12.252189	0
12.251712	0
12.251235	0
12.250758	0
12.250281	0
12.249804	0
12.249327	0
12.24885	0
12.248373	0
12.247896	0
12.247419	0
12.246942	0
12.246465	0
12.245988	0
12.245511	0
12.245034	0
12.244557	0
12.24408	0
12.243603	0
12.243126	0
12.242649	0
12.242172	0
12.241695	0
12.241218	0
12.240741	0
12.240264	0
12.239787	0
12.23931	0
12.238833	0
12.238356	0
12.237879	0
12.237402	0
12.236925	0
12.236448	0
12.235971	0
12.235494	0
12.235017	0
12.23454	0
12.234063	0
12.233586	0
12.233109	0
12.232632	0
12.232155	0
12.231678	0
12.231201	0
12.230724	0
12.230247	0
12.22977	0
12.229293	0
12.228816	0
12.228339	0
12.227862	0
12.227385	0
12.226908	0
12.226431	0
12.225954	0
12.225477	0
12.225	0
12.224523	0
12.224046	0
12.223569	0
12.223092	0
12.222615	0
12.222138	0
12.221661	0
12.221184	0
12.220707	0
12.22023	0
12.219753	0
12.219276	0
12.218799	0
12.218322	0
12.217845	0
12.217368	0
12.216891	0
12.216414	0
12.215937	0
12.21546	0
12.214983	0
12.214506	0
12.214029	0
12.213552	0
12.213075	0
12.212598	0
12.212121	0
12.211644	0
12.211166	0
12.210689	0
12.210212	0
12.209735	0
12.209258	0
12.208781	0
12.208304	0
12.207827	0
12.20735	0
12.206873	0
12.206396	0
12.205919	0
12.205442	0
12.204965	0
12.204488	0
12.204011	0
12.203534	0
12.203057	0
12.20258	0
12.202103	0
12.201626	0
12.201149	0
12.200672	0
12.200195	0
12.199718	0
12.199241	0
12.198764	0
